date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:46:22	677/677	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Tue,%2002%20Aug%202022%2003:46:24%20GMT	https://html.designingmedia.com/robots.txt		(from )
10:46:23	91325/91325	---M-Z	200	added ('OK')	text/html	date:Wed,%2011%20May%202022%2012:57:12%20GMT	https://html.designingmedia.com/folioflix/	C:/My%20Web%20Sites/5/html.designingmedia.com/folioflix/index.html	(from )
10:46:23	156228/156228	---MCZ	200	added ('OK')	text/css	etag:W/%22aa1272633e7e552395d147a499bad186%22	https://pro.fontawesome.com/releases/v5.10.0/css/all.css	C:/My%20Web%20Sites/5/pro.fontawesome.com/releases/v5.10.0/css/all.css	(from https://html.designingmedia.com/folioflix/)
10:46:23	57095/57095	---M--	200	added ('OK')	text/css	date:Tue,%2016%20Nov%202021%2018:40:34%20GMT	https://html.designingmedia.com/folioflix/assets/css/animate.css	C:/My%20Web%20Sites/5/html.designingmedia.com/folioflix/assets/css/animate.css	(from https://html.designingmedia.com/folioflix/)
10:46:24	144877/144877	---M--	200	added ('OK')	text/css	date:Mon,%2001%20Nov%202021%2020:09:24%20GMT	https://html.designingmedia.com/folioflix/assets/bootstarp/bootstrap.min.css	C:/My%20Web%20Sites/5/html.designingmedia.com/folioflix/assets/bootstarp/bootstrap.min.css	(from https://html.designingmedia.com/folioflix/)
10:46:24	1959/1959	---M--	200	added ('OK')	text/css	date:Wed,%2023%20Feb%202022%2009:17:08%20GMT	https://html.designingmedia.com/folioflix/assets/css/super-classes.css	C:/My%20Web%20Sites/5/html.designingmedia.com/folioflix/assets/css/super-classes.css	(from https://html.designingmedia.com/folioflix/)
10:46:25	33727/33727	---M--	200	added ('OK')	text/css	date:Tue,%2014%20Jun%202022%2008:00:03%20GMT	https://html.designingmedia.com/folioflix/assets/css/style.css	C:/My%20Web%20Sites/5/html.designingmedia.com/folioflix/assets/css/style.css	(from https://html.designingmedia.com/folioflix/)
10:46:25	24970/24970	---M--	200	added ('OK')	text/css	date:Fri,%2011%20Mar%202022%2011:59:42%20GMT	https://html.designingmedia.com/folioflix/assets/css/mobile.css	C:/My%20Web%20Sites/5/html.designingmedia.com/folioflix/assets/css/mobile.css	(from https://html.designingmedia.com/folioflix/)
10:46:25	100782/100782	---M-Z	200	added ('OK')	text/css	etag:%22623a082a-4ef8%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.1.1/css/all.min.css	C:/My%20Web%20Sites/5/cdnjs.cloudflare.com/ajax/libs/font-awesome/6.1.1/css/all.min.css	(from https://html.designingmedia.com/folioflix/)
10:46:25	91325/91325	---M-Z	200	added ('OK')	text/html	date:Wed,%2011%20May%202022%2012:57:12%20GMT	https://html.designingmedia.com/folioflix/index.html	C:/My%20Web%20Sites/5/html.designingmedia.com/folioflix/index-2.html	(from https://html.designingmedia.com/folioflix/)
10:46:25	3249/3249	---M--	200	added ('OK')	image/png	date:Tue,%2015%20Feb%202022%2015:01:34%20GMT	https://html.designingmedia.com/folioflix/assets/image/logo-img.png	C:/My%20Web%20Sites/5/html.designingmedia.com/folioflix/assets/image/logo-img.png	(from https://html.designingmedia.com/folioflix/)
10:46:26	2570/2570	---M--	200	added ('OK')	image/png	date:Tue,%2015%20Feb%202022%2016:04:12%20GMT	https://html.designingmedia.com/folioflix/assets/image/cup-img.png	C:/My%20Web%20Sites/5/html.designingmedia.com/folioflix/assets/image/cup-img.png	(from https://html.designingmedia.com/folioflix/)
10:46:26	2313/2313	---M--	200	added ('OK')	image/png	date:Tue,%2015%20Feb%202022%2016:15:42%20GMT	https://html.designingmedia.com/folioflix/assets/image/admin-icon.png	C:/My%20Web%20Sites/5/html.designingmedia.com/folioflix/assets/image/admin-icon.png	(from https://html.designingmedia.com/folioflix/)
10:46:26	3179/3179	---M--	200	added ('OK')	image/png	date:Tue,%2015%20Feb%202022%2017:26:04%20GMT	https://html.designingmedia.com/folioflix/assets/image/service-icon1.png	C:/My%20Web%20Sites/5/html.designingmedia.com/folioflix/assets/image/service-icon1.png	(from https://html.designingmedia.com/folioflix/)
10:46:27	1721/1721	---M--	200	added ('OK')	image/png	date:Tue,%2015%20Feb%202022%2017:26:34%20GMT	https://html.designingmedia.com/folioflix/assets/image/service-icon2.png	C:/My%20Web%20Sites/5/html.designingmedia.com/folioflix/assets/image/service-icon2.png	(from https://html.designingmedia.com/folioflix/)
10:46:27	2812/2812	---M--	200	added ('OK')	image/png	date:Tue,%2015%20Feb%202022%2017:27:00%20GMT	https://html.designingmedia.com/folioflix/assets/image/service-icon3.png	C:/My%20Web%20Sites/5/html.designingmedia.com/folioflix/assets/image/service-icon3.png	(from https://html.designingmedia.com/folioflix/)
10:46:27	2787/2787	---M--	200	added ('OK')	image/png	date:Tue,%2015%20Feb%202022%2017:27:24%20GMT	https://html.designingmedia.com/folioflix/assets/image/service-icon4.png	C:/My%20Web%20Sites/5/html.designingmedia.com/folioflix/assets/image/service-icon4.png	(from https://html.designingmedia.com/folioflix/)
10:46:28	550588/550588	---M--	200	added ('OK')	image/png	date:Tue,%2015%20Feb%202022%2015:11:08%20GMT	https://html.designingmedia.com/folioflix/assets/image/banner-right-img.png	C:/My%20Web%20Sites/5/html.designingmedia.com/folioflix/assets/image/banner-right-img.png	(from https://html.designingmedia.com/folioflix/)
